R_Ctrl_1	R_Ctrl_2	R_Ctrl_3	R_Ima_1	R_Ima_2	R_Ima_3	S_Ctrl_1	S_Ctrl_2	S_Ctrl_3	S_Ima_1	S_Ima_2	S_Ima_3
19.69754963346126	19.410546585048856	19.419875848146912	19.642411362612197	19.406871396931212	19.45108631975484	20.33210759185828	20.21845089964877	20.342995899783343	21.1456939965282	21.069072748844434	21.416995911742553
19.06640720523149	18.43063222396255	18.53161752411102	19.079385820152982	18.261778156381506	18.852023472821333	19.046156812766817	19.05978805176855	19.320934931668	20.0558980278992	20.264993448044976	20.573115523215915
19.432097351080646	19.51665802162314	19.90316251900875	19.704683822160945	19.35710521679886	19.608451564647403	18.961251843858708	19.063050061483356	18.903293466116082	19.509322699743965	19.24362726533581	19.61958774894214
17.919259067131502	17.58467629320251	17.610188594416147	17.658030130122345	17.426076345404912	17.834822841774987	18.57301101658783	18.513935733116423	18.799272134070687	18.9043964811343	18.836361693604932	19.320787330226466
19.279572043141325	19.236705616627713	19.05849386342297	19.42344423563972	18.69549338845633	19.345528694575087	18.68079560141172	18.526361687501396	18.55967956228114	18.709592065099347	18.75477987522794	18.899858427200673
17.004088763461574	16.857033332344	17.236771004517212	17.592135805639817	16.782243196131038	17.352638332039255	17.695275876588575	17.707305202580066	17.753007768945245	18.15575705802172	18.001479667605306	18.032637685723007
NA	NA	NA	NA	NA	NA	17.321840037082783	17.2807707701306	17.485349776885172	18.22766294454604	18.392963015835107	18.496202327150105
19.73604347252595	19.91260577819544	19.923833781507483	20.0558980278992	19.63709004286523	19.75587207891443	19.905633795332214	20.015634195145065	20.09506858972705	19.623574324638735	19.46078183215855	19.316966472471197
22.022422338436055	21.938764429607698	21.95659771828618	21.93156892999789	21.91706936394594	21.97070731425178	21.96719283093169	22.022422338436055	21.96719283093169	21.545100693710992	21.605125445569747	21.65840022221613
20.264993448044976	20.310081302342894	20.406654490182685	20.145694618379107	20.120603659235602	20.182531355205658	21.807349025497523	21.775552815237358	21.81909422998329	21.52133253560975	21.511714536254175	21.437460007045253
22.35380183916672	22.356490926193132	22.337561201206597	22.39884831066931	22.393621149952715	22.2477146013153	22.49960091738296	22.586920626935925	22.53088660109087	21.66275224544301	21.545100693710992	21.540378285014388
20.264993448044976	20.21845089964877	20.264993448044976	20.21845089964877	20.2065768091335	20.321136482380403	20.618630153747663	20.71397797302749	20.67141753591249	20.42726475513585	20.45763838286297	20.516532031841702
21.6670911798624	NA	NA	NA	NA	NA	20.75531874471416	20.78755906370152	20.680030661075	21.12691679764409	21.08212889576204	21.029180040107
NA	NA	NA	NA	NA	NA	19.4419127816619	19.75835498634376	19.601569505527593	20.310081302342894	20.170356651533687	20.133203685010706
17.268240432654775	17.18683966153079	17.71247998096977	18.126860726771717	17.409979231546913	17.730423698894135	17.632668668675944	17.500997441287154	17.52212939226451	17.726065120362307	17.61147153466145	17.84131249291173
20.487385705810677	20.029180714263088	21.46263856125248	20.0558980278992	21.062500097915333	20.747144817899606	NA	NA	NA	16.292242535510926	19.724310666721586	19.726293009438187
