UNIPROT	Genes	R_Ctrl_1	R_Ctrl_2	R_Ctrl_3	R_Ima_1	R_Ima_2	R_Ima_3	S_Ctrl_1	S_Ctrl_2	S_Ctrl_3	S_Ima_1	S_Ima_2	S_Ima_3
P39023	RPL3	1.2206804371769198	1.2285696074245858	1.2247714582342804	1.2145951980267085	1.2205915052720362	1.2217246034071252	1.212033274610907	1.2129208938558949	1.2165956234572624	1.207941048711636	1.2052080516311376	1.190645060543814
P62888	RPL30	1.3027707099188983	1.2951647122499752	1.2953045834905683	1.2903531716788386	1.2988316699854985	1.3184922975883138	1.2947502278438838	1.2883967986548424	1.2828473944548842	1.2611265531915163	1.263910013756324	1.257489614805729
P62899	RPL31	1.2186770427409588	1.2511317440540783	1.2561610689084737	1.2349451249253027	1.2539804912317167	1.2802476687667077	1.2473500151430286	1.2595322642151985	1.2379029234542902	1.2376476430188863	1.2065860301388498	1.1902850991088207
P62910	RPL32	1.2498104852622605	1.2546738770187489	1.2544300956264314	1.2338224466025027	1.2490375237914293	1.2616034764934787	1.2456290051230456	1.2499336716878364	1.2397946897570873	1.2355573138333982	1.233192300366881	1.2129895806998452
P49207	RPL34	1.1775452619716504	1.210775752784902	1.201713110080486	1.1745727565000588	1.200334060402506	1.2190133950621818	1.1937522458641148	1.216097620526321	1.1962708745680448	1.193461069395215	1.1795117561654451	1.161891428680926
P42766	RPL35	1.171960056830934	1.2297834471443088	1.247559616208487	1.210313034550185	1.2295288797890045	1.2541980373508692	1.2111251631487745	1.243766234865486	1.197258380383473	1.2106322362479045	1.1706289232755491	1.1302809111822143
P18077	RPL35A	1.2269969996964536	1.235015730504564	1.218690611098196	1.222884463324775	1.2245524646498254	1.2223874084810866	1.2187671034761909	1.2169338609600622	1.2269315371601124	1.2118948992101677	1.2121555424302402	1.2085818696749575
Q9Y3U8	RPL36	1.2084715538549848	1.2409530071021946	1.2657861575854217	1.2321063710036864	1.2517738564106995	1.2841216438917664	1.2490329184743738	1.268475514540313	1.2346413917927574	1.2348476134369322	1.199893230281159	1.1831005210840408
Q969Q0	RPL36AL	1.0611070515419225	1.0868023821113144	1.0604497818888075	1.0633732127624484	1.1180765059379212	1.1065333856727597	1.0838895445227763	1.1336825353742306	1.1217454973920655	1.1175609231051418	1.1049050020981872	1.0948195285786584
P61927	RPL37	1.0832584459441466	1.1216274216574529	1.058812558244361	1.0790887288225843	1.1248608938033058	1.1212020403455585	1.0778056597111298	1.0940612254694655	1.0863862714629515	1.0807688345534627	1.0969469902904208	1.0234470040072357
P61513	RPL37A	1.1338789214629643	1.151035166281311	1.1583328336076415	1.1369737694739543	1.1560907463835148	1.1591730532983215	1.1291592154952732	1.1489646813327408	1.137393397039932	1.141311734967053	1.1389878211092717	1.1032072704861728
P63173	RPL38	1.0832584459441466	1.119832464744396	1.1442276983589443	1.1367685359596404	1.1416987722734722	1.207313369006488	1.1435523840674051	1.1370902157856628	1.1211541948106312	1.121441024520056	1.1139000583689105	1.120093118289366
P36578	RPL4	1.2958313634458782	1.2971583767770742	1.297806276181802	1.2862418722468498	1.2981093522153269	1.2959252572002555	1.288742309277671	1.2890430142067173	1.2905696486138114	1.2821851192348437	1.2831028320796898	1.265498248988134
P46777	RPL5	1.2545749130770771	1.2592871359340558	1.261526748292194	1.2481932492800634	1.2586186507530122	1.2588095466708191	1.251220350842192	1.2510031241126305	1.2529177497685866	1.2410090784595456	1.2435751970319069	1.2210249744654478
Q02878	RPL6	1.2834797958833617	1.2880172575462367	1.2785667738703776	1.278535652881707	1.2813802990579977	1.285274584358974	1.2676400677669604	1.274553146785245	1.272650905796542	1.2683520354091673	1.2598359949526263	1.249646403422352
P18124	RPL7	1.318644849963703	1.3231098424462064	1.3211098608726464	1.3143551226662025	1.3245577902464407	1.32048881243801	1.3101132892086755	1.3158674695435375	1.3121083902559287	1.305745232678143	1.3002983746542411	1.2901098624355622
P62424	RPL7A	1.355392250567919	1.3548904807010511	1.346469999709854	1.3427566132625717	1.3558555665120773	1.3501505548957506	1.3410973089507223	1.3445153716103055	1.340307369307314	1.3303217865086856	1.3344796849625666	1.3168322003137856
Q6DKI1	RPL7L1	1.045700358704015	1.0502241533969747	1.0507487150973798	1.051625596807501	1.0586504386751636	1.0523979942647637	1.0573342091514897	1.068931295441336	1.0541579689495713	1.0301225152023756	1.0350519713509654	1.0243883586596834
P62917	RPL8	1.2610064614793075	1.264016844998594	1.2590976982261424	1.2491218790035343	1.2552740621415304	1.2619942716163195	1.243868122622073	1.2551363821117738	1.2502514403178278	1.2448565614064475	1.2429252378664215	1.230307132902694
P32969	RPL9	1.2333819312269425	1.242494148304151	1.2522088719671975	1.2397995867292877	1.2517738564106995	1.2537644459975503	1.2467806639518086	1.248848940856332	1.2434425272926628	1.2369572107714195	1.2395897845870378	1.2134343550373838
P05388	RPLP0	1.251140127785474	1.2592871359340558	1.2494539053311655	1.2355002422146373	1.2602367960194354	1.2464638959190557	1.2444596277738424	1.2471922234952049	1.2474881531679414	1.236260473119951	1.2409414967009589	1.2351239662165927
