UNIPROT	Genes	R_Ctrl_1	R_Ctrl_2	R_Ctrl_3	R_Ima_1	R_Ima_2	R_Ima_3	S_Ctrl_1	S_Ctrl_2	S_Ctrl_3	S_Ima_1	S_Ima_2	S_Ima_3
P82673 ; Q9Y2Q9	MRPS28	456020	534191	579626	391665	615373	840671	873720	942896	855056	1020000	925867	864942
Q9NP92	MRPS30	NA	NA	607100	348086	594014	NA	428823	408786	376538	535139	549806	465956
Q92665	MRPS31	NA	304108	NA	NA	306572	411559	741971	857122	702322	994278	920587	909777
Q9Y291	MRPS33	NA	NA	NA	NA	NA	NA	259411	311807	185619	307421	190491	222082
P82930	MRPS34	960939	986927	1190000	1070000	1280000	1280000	1640000	1810000	1500000	1700000	1780000	1810000
P82673 ; Q9Y2Q9	MRPS35	359806	342855	318007	301029	368196	257339	486815	594700	516298	602004	691397	634169
P82909	MRPS36	NA	NA	NA	NA	NA	NA	298000	322828	277781	476463	293958	212650
P82675	MRPS5	559383	460460	569037	512565	583710	632903	869720	885976	890789	1110000	997450	1010000
P82932	MRPS6	513621	735507	882610	902011	574516	1100000	361267	348426	243111	301327	356704	336040
Q9Y2R9	MRPS7	NA	NA	NA	NA	NA	335739	1590000	1830000	1340000	1540000	1640000	1280000
P82933	MRPS9	924053	921508	881826	1000000	1020000	1370000	1800000	1800000	1740000	1750000	1780000	1750000
Q96E11	MRRF	796231	911453	1030000	737063	996290	749668	794959	796059	707853	735282	723200	741289
Q9HD23	MRS2	NA	NA	89974.4	47170.6	NA	NA	217132	226144	223844	215269	256401	266876
Q9UKD2	MRTO4	3650000	3340000	3040000	3320000	3490000	3350000	3930000	3950000	3940000	2060000	2010000	2160000
Q6P1R3	MSANTD2	120318	137054	194455	94648.4	154284	106690	NA	NA	NA	NA	NA	NA
P43246	MSH2	3380000	3390000	3280000	3560000	3100000	3400000	3750000	3650000	3670000	3140000	2910000	3030000
P20585	MSH3	872814	768276	789227	916804	549872	893517	911161	861127	922619	823000	777112	762902
